"kode","nama_daftar_isi","halaman_cetak","halaman_pdf_daftar_isi"
"4225","TENAGA TATA USAHA PENERANGAN","701","19"
"4226","RESEPSIONIS","702","19"
"4227","PEWAWANCARA SURVEI DAN PENELITIAN PASAR","703","19"
"4229","TENAGA TATA USAHA INFORMASI PELANGGAN YTDL","704","19"
"43","TENAGA TATA USAHA PENGHITUNGAN DAN PENCATATAN DOKUMEN","705","19"
"431","TENAGA TATA USAHA PENGHITUNGAN","705","19"
"4311","JURU TATA USAHA AKUNTANSI DAN PEMBUKUAN","706","19"
"4312","JURU TATA USAHA STATISTIK, KEUANGAN, DAN ASURANSI","707","19"
"4313","JURU TATA USAHA PENGGAJIAN","710","19"
"432","TENAGA TATA USAHA PENCATATAN BARANG DAN TRANSPORTASI","711","19"
"4321","JURU TATA USAHA PERGUDANGAN","711","19"
"4322","JURU TATA USAHA PRODUKSI","713","19"
"4323","JURU TATA USAHA TRANSPORTASI","714","19"
"44","TENAGA TATA USAHA LAINNYA","716","19"
"441","TENAGA TATA USAHA LAINNYA","716","19"
"4411","JURU TATA USAHA PERPUSTAKAAN","716","19"
"4412","JURU TATA USAHA PENGIRIMAN DAN PENYORTIRAN SURAT","717","19"
"4413","JURU KODE, JURU KOREKSI, DAN YBDI","718","19"
"4414","JURU TULIS DAN YBDI","719","19"
"4415","JURU TATA USAHA PENGARSIPAN DAN PENGGANDAAN","720","19"
"4416","JURU TATA USAHA PERSONALIA","721","19"
"4419","JURU TATA USAHA YTDL","722","19"
"5","TENAGA USAHA JASA DAN TENAGA PENJUALAN","727","19"
"51","TENAGA USAHA JASA PERORANGAN","727","19"
"511","TENAGA PELAYANAN PERJALANAN, KONDEKTUR, DAN PRAMUWISATA","728","19"
"5111","TENAGA PELAYANAN PERJALANAN","728","19"
"5112","KONDEKTUR TRANSPORTASI","730","19"
"5113","PRAMUWISATA","731","19"
"512","JURU MASAK","733","19"
"5120","JURU MASAK","734","19"
"513","PRAMUSAJI DAN PRAMUTAMA BAR/BARTENDER","735","19"
"5131","PRAMUSAJI","735","20"
"5132","PRAMUTAMA BAR/BARTENDER","736","20"
"514","PENATA RAMBUT, PERAWAT KECANTIKAN/BEAUTICIAN, DAN YBDI","737","20"
"5141","PENATA RAMBUT","737","20"
"5142","PERAWAT KECANTIKAN/BEAUTICIAN DAN YBDI","738","20"
"515","TENAGA PENGAWAS GEDUNG DAN KERUMAHTANGGAAN","740","20"
"5151","PENGAWAS KEBERSIHAN DAN KERUMAHTANGGAAN DI KANTOR, HOTEL, DAN BANGUNAN LAINNYA","740","20"
"5152","PENGURUS KERUMAHTANGGAAN","742","20"
"5153","PENGELOLA GEDUNG","743","20"
"516","TENAGA USAHA JASA PERORANGAN LAINNYA","745","20"
"5161","ASTROLOG, PERAMAL, DAN YBDI","745","20"
"5162","AJUDAN DAN PELAYAN PRIBADI","747","20"
"5163","PENGURUS PEMBALSEMAN DAN PEMAKAMAN JENAZAH","748","20"
"5164","PELATIH DAN PEKERJA PERAWATAN HEWAN","749","20"
"5165","INSTRUKTUR MENGEMUDI","751","20"
"5169","TENAGA USAHA JASA PERORANGAN YTDL","752","20"
"52","TENAGA PENJUALAN","753","20"
"521","PEDAGANG PASAR DAN KAKI LIMA","753","20"
"5211","PEDAGANG DI KIOS DAN LOS PASAR","754","20"
"5212","PEDAGANG MAKANAN KAKI LIMA","756","20"
"522","PEDAGANG TOKO","756","20"
"5221","PEMILIK TOKO","757","20"
"5222","SUPERVISOR TOKO","758","20"
"5223","ASISTEN PENJUALAN TOKO","760","20"
"523","KASIR DAN PETUGAS TIKET","761","20"
"5230","KASIR DAN PETUGAS TIKET","762","20"
"524","PEKERJA PENJUALAN LAINNYA","763","20"
"5241","MODEL FESYEN DAN MODEL LAINNYA","764","20"
"5242","PERAGA PENJUALAN","765","20"
"5243","PEDAGANG RUMAH KE RUMAH","766","20"
"5244","PEDAGANG MELALUI PUSAT INFORMASI","767","20"
"5245","PETUGAS STASIUN PENGISIAN BAHAN BAKAR","768","20"
"5246","PETUGAS KONTER LAYANAN MAKANAN","770","20"
"5249","PEKERJA PENJUALAN YTDL","771","20"
"53","TENAGA PERAWATAN PRIBADI","772","20"
