"halaman_pdf","alasan","teks"
"263","margin_kepala_kaki","Profesional  |  231"
"263","teks_miring_watermark","https://www.bps.go.id"
"264","margin_kepala_kaki","232  |  Klasifikasi Baku Jabatan Indonesia (KBJI) 2026"
"264","teks_miring_watermark","https://www.bps.go.id"
"265","margin_kepala_kaki","Profesional  |  233"
"265","teks_miring_watermark","https://www.bps.go.id"
"266","margin_kepala_kaki","234  |  Klasifikasi Baku Jabatan Indonesia (KBJI) 2026"
"266","teks_miring_watermark","https://www.bps.go.id"
"267","margin_kepala_kaki","Profesional  |  235"
"267","teks_miring_watermark","https://www.bps.go.id"
"268","margin_kepala_kaki","236  |  Klasifikasi Baku Jabatan Indonesia (KBJI) 2026"
"268","teks_miring_watermark","https://www.bps.go.id"
"269","margin_kepala_kaki","Profesional  |  237"
"269","teks_miring_watermark","https://www.bps.go.id"
"270","margin_kepala_kaki","238  |  Klasifikasi Baku Jabatan Indonesia (KBJI) 2026"
"270","teks_miring_watermark","https://www.bps.go.id"
"271","margin_kepala_kaki","Profesional  |  239"
"271","teks_miring_watermark","https://www.bps.go.id"
"272","margin_kepala_kaki","240  |  Klasifikasi Baku Jabatan Indonesia (KBJI) 2026"
"272","teks_miring_watermark","https://www.bps.go.id"
"273","margin_kepala_kaki","Profesional  |  241"
"273","teks_miring_watermark","https://www.bps.go.id"
"274","margin_kepala_kaki","242  |  Klasifikasi Baku Jabatan Indonesia (KBJI) 2026"
"274","teks_miring_watermark","https://www.bps.go.id"
"275","margin_kepala_kaki","Profesional  |  243"
"275","teks_miring_watermark","https://www.bps.go.id"
"276","margin_kepala_kaki","244  |  Klasifikasi Baku Jabatan Indonesia (KBJI) 2026"
"276","teks_miring_watermark","https://www.bps.go.id"
"277","margin_kepala_kaki","Profesional  |  245"
"277","teks_miring_watermark","https://www.bps.go.id"
"278","margin_kepala_kaki","246  |  Klasifikasi Baku Jabatan Indonesia (KBJI) 2026"
"278","teks_miring_watermark","https://www.bps.go.id"
"279","margin_kepala_kaki","Profesional  |  247"
"279","teks_miring_watermark","https://www.bps.go.id"
"280","margin_kepala_kaki","248  |  Klasifikasi Baku Jabatan Indonesia (KBJI) 2026"
"280","teks_miring_watermark","https://www.bps.go.id"
"281","margin_kepala_kaki","Profesional  |  249"
"281","teks_miring_watermark","https://www.bps.go.id"
"282","margin_kepala_kaki","250  |  Klasifikasi Baku Jabatan Indonesia (KBJI) 2026"
"282","teks_miring_watermark","https://www.bps.go.id"
"283","margin_kepala_kaki","Profesional  |  251"
"283","teks_miring_watermark","https://www.bps.go.id"
"284","margin_kepala_kaki","252  |  Klasifikasi Baku Jabatan Indonesia (KBJI) 2026"
"284","teks_miring_watermark","https://www.bps.go.id"
"285","margin_kepala_kaki","Profesional  |  253"
"285","teks_miring_watermark","https://www.bps.go.id"
"286","margin_kepala_kaki","254  |  Klasifikasi Baku Jabatan Indonesia (KBJI) 2026"
"286","teks_miring_watermark","https://www.bps.go.id"
"287","margin_kepala_kaki","Profesional  |  255"
"287","teks_miring_watermark","https://www.bps.go.id"
