"kode","terpindai_kolom_kode","terbaca_sebagai_judul","halaman_pdf","jumlah_kemunculan"
"1221.03","True","True","191","1"
"1221.04","True","True","191","1"
"1221.99","True","True","191","1"
"1222.01","True","True","192","1"
"1222.02","True","True","192","1"
"1222.99","True","True","193","1"
"1223.01","True","True","193","1"
"1223.02","True","True","194","1"
"1223.03","True","True","194","1"
"1223.04","True","True","195","1"
"1223.05","True","True","195","1"
"1223.06","True","True","195","1"
"1223.99","True","True","196","1"
"1311.01","True","True","198","1"
"1311.02","True","True","198","1"
"1311.03","True","True","199","1"
"1311.04","True","True","199","1"
"1311.05","True","True","200","1"
"1311.06","True","True","200","1"
"1311.07","True","True","200","1"
"1311.08","True","True","201","1"
"1311.09","True","True","201","1"
"1311.10","True","True","201","1"
"1311.11","True","True","202","1"
"1311.12","True","True","202","1"
"1311.13","True","True","202","1"
"1311.14","True","True","203","1"
"1311.15","True","True","203","1"
"1311.16","True","True","203","1"
"1311.99","True","True","203","1"
"1312.01","True","True","204","1"
"1312.02","True","True","205","1"
"1312.03","True","True","205","1"
"1312.99","True","True","206","1"
"1321.01","True","True","207","1"
"1321.02","True","True","207","1"
"1321.03","True","True","208","1"
"1321.04","True","True","208","1"
"1321.05","True","True","208","1"
"1321.99","True","True","208","1"
"1322.01","True","True","209","1"
"1322.02","True","True","209","1"
"1322.03","True","True","210","1"
"1322.04","True","True","210","1"
"1322.99","True","True","210","1"
"1323.01","True","True","211","1"
"1323.02","True","True","211","1"
"1323.99","True","True","212","1"
"1324.01","True","True","212","1"
"1324.02","True","True","213","1"
"1324.03","True","True","213","1"
"1324.04","True","True","214","1"
"1324.05","True","True","214","1"
"1324.06","True","True","214","1"
"1324.07","True","True","215","1"
"1324.08","True","True","215","1"
"1324.09","True","True","215","1"
"1324.10","True","True","216","1"
"1324.11","True","True","216","1"
"1324.99","True","True","216","1"
"1330.01","True","True","218","1"
"1330.02","True","True","218","1"
"1330.03","True","True","218","1"
"1330.04","True","True","218","1"
"1330.05","True","True","219","1"
"1330.06","True","True","219","1"
"1330.07","True","True","219","1"
"1330.08","True","True","220","1"
"1330.09","True","True","220","1"
"1330.10","True","True","221","1"
"1330.11","True","True","221","1"
"1330.99","True","True","222","1"
"1341.00","True","True","223","1"
"1342.01","True","True","224","1"
"1342.02","True","True","224","1"
"1342.03","True","True","225","1"
"1342.04","True","True","225","1"
"1342.05","True","True","225","1"
"1342.06","True","True","226","1"
"1342.99","True","True","226","1"
"1343.01","True","True","227","1"
"1343.02","True","True","227","1"
"1343.03","True","True","227","1"
"1343.04","True","True","228","1"
"1343.05","True","True","228","1"
"1343.06","True","True","229","1"
"1343.07","True","True","229","1"
"1343.99","True","True","229","1"
"1344.01","True","True","230","1"
"1344.02","True","True","230","1"
"1344.03","True","True","231","1"
"1344.04","True","True","231","1"
"1344.99","True","True","232","1"
"1345.01","True","True","232","1"
"1345.02","True","True","233","1"
"1345.03","True","True","233","1"
"1345.04","True","True","233","1"
"1345.05","True","True","234","1"
"1345.06","True","True","234","1"
"1345.07","True","True","235","1"
"1345.08","True","True","235","1"
"1345.09","True","True","235","1"
"1345.10","True","True","236","1"
"1345.11","True","True","236","1"
"1345.12","True","True","236","1"
"1345.13","True","True","237","1"
"1345.14","True","True","237","1"
"1345.99","True","True","237","1"
"1346.01","True","True","238","1"
"1346.02","True","True","238","1"
"1346.03","True","True","238","1"
"1346.04","True","True","239","1"
"1346.05","True","True","239","1"
"1346.06","True","True","239","1"
"1346.07","True","True","240","1"
